job_title, country ,Name of Company,type of job , Time posted 
Staff Nurse - PACU or NICU;Riyadh, Saudi Arabia;Woodston Personnel Global -;Full Time;3 hours ago
Graphic Designer;6th of October, Giza, Egypt;Evolution Agency -;Full Time;3 hours ago
media buyer;6th of October, Giza, Egypt;Evolution Agency -;Full Time;3 hours ago
Network Engineer - Saudi Arabia;Tabuk, Saudi Arabia;Infosys -;Full Time;3 hours ago
Sales Associate - Part Time;Tabuk, Saudi Arabia;H. M. Al Rugaib & Sons Trading Co. - شركة حمد محمد الرقيب و أولاده التجارية -;Full Time;3 hours ago
Sales & Marketing Executive;Mohandessin, Giza, Egypt;Milliocare -;Full Time;2 hours ago
Architect / 3D Visualizer;New Cairo, Cairo, Egypt;Ahmed Osman-Archi-Arts -;Full Time;2 hours ago
Export specialist;Smouha, Alexandria, Egypt;Confidential -;Full Time;2 hours ago
Cold Caller;New Cairo, Cairo, Egypt;Confidential -;Full Time;2 hours ago
Entry Level - Remote Data Entry Representatives;Riyadh, Saudi Arabia;hiretowncity -;Full Time;2 hours ago
Admin Data Entry Assistant - Work From Home;Riyadh, Saudi Arabia;hiretowncity -;Full Time;2 hours ago
Remote Data Entry Position (Immediate Need);Riyadh, Saudi Arabia;The Fascinator Boutique -;Full Time;2 hours ago
Marketing & Retail Executive;Riyadh, Saudi Arabia;Piaget -;Full Time;2 hours ago
Fully Remote Data Entry Associate – Part Time;Riyadh, Saudi Arabia;The Fascinator Boutique -;Full Time;2 hours ago
Data Entry - Work From Home (Part Time Role);Riyadh, Saudi Arabia;hiretowncity -;Full Time;1 hour ago
